,0,1,2
0,1.230355899,-11.16224898,1.00
1,1.026142519,16.09732309,1.00
2,1.154422802,5.081676407,1.00
3,0.644275321,-5.095380713,1.00
4,1.005900857,2.24342718,1.00
5,0.979535475,12.19841763,1.00
6,0.628743238,13.72324216,1.00
7,1.270751943,-8.879463133,1.00
8,0.476559454,-10.82495536,1.00
9,0.916993762,-7.011162486,1.00
10,1.171793263,1.199466145,1.00
11,1.145091041,-12.00385685,1.00
12,1.206849448,-13.29830645,1.00
13,1.034361548,3.013242515,1.00
14,0.877474537,10.51779503,1.00
15,0.981330796,-1.556664849,1.00
16,1.030512283,4.479715818,1.00
17,1.210422714,-19.04502745,1.00
18,1.346124135,6.744188944,1.00
19,0.975447264,7.272114968,1.00
20,0.847118513,0.022827149,1.00
21,0.826148637,4.640247121,1.00
22,0.553648712,-2.943176181,1.00
23,0.755670499,11.14954986,1.00
24,0.98519666,-25.69452386,1.00
25,0.862126373,2.018827657,1.00
26,0.719775782,14.82388419,1.00
27,0.844751158,5.924162209,1.00
28,0.991904732,-9.424748625,1.00
29,1.045099149,-12.83900278,1.00
30,1.011900925,-6.61469619,1.00
31,0.744336986,-14.12330423,1.00
32,0.85311961,4.599216168,1.00
33,0.759425518,8.024012998,1.00
34,0.587570351,11.2257852,1.00
35,1.242277301,7.852574157,1.00
36,0.982614944,6.343713874,1.00
37,1.016147155,5.403457955,1.00
38,1.180899231,-0.146176192,1.00
39,1.173786853,21.72939346,1.00
40,1.217620042,-5.598777095,1.00
41,1.331247033,0.974917744,1.00
42,0.958079791,-17.99017237,1.00
43,0.974026483,3.144875612,1.00
44,1.061268753,8.326528885,1.00
45,0.847865074,7.831940467,1.00
46,0.942908091,-11.87343847,1.00
47,0.776138097,-9.223103729,1.00
48,0.768684276,-4.213094271,1.00
49,0.78518765,-16.89546965,1.00
50,0.915848886,-5.966193571,1.00
51,0.984531183,-14.67621393,1.00
52,1.106266052,3.451039022,1.00
53,0.853100164,0.569577055,1.00
54,1.128698027,-3.960115626,1.00
55,0.928513292,-1.231324958,1.00
56,1.075120171,17.29242921,1.00
57,0.73591083,17.72718063,1.00
58,0.981241889,-7.832228488,1.00
59,1.228498244,-2.411991055,1.00
60,0.968632665,-5.495842778,1.00
61,0.822116396,-20.26564754,1.00
62,1.353001362,-7.890836979,1.00
63,1.275883587,-4.070229421,1.00
64,1.12014611,-5.254337202,1.00
65,1.20086535,-4.359204746,1.00
66,1.014742533,10.75277435,1.00
67,1.305597415,2.015744204,1.00
68,1.114586703,9.13482984,1.00
69,0.98313856,1.132730189,1.00
70,1.282814525,-17.77041074,1.00
71,0.780627425,-12.66653167,1.00
