Date,Open,High,Low,Close,Adj Close,Volume
16/01/2018,177.899994,179.389999,176.139999,176.190002,175.474579,29565900
17/01/2018,176.149994,179.25,175.070007,179.100006,178.372757,34386800
18/01/2018,179.369995,180.100006,178.25,179.259995,178.532104,31193400
19/01/2018,178.610001,179.580002,177.410004,178.460007,177.735352,32425100
22/01/2018,177.300003,177.779999,176.600006,177,176.281281,27108600
23/01/2018,177.300003,179.440002,176.820007,177.039993,176.321106,32689100
24/01/2018,177.25,177.300003,173.199997,174.220001,173.512573,51105100
25/01/2018,174.509995,174.949997,170.529999,171.110001,170.415192,41529000
26/01/2018,172,172,170.059998,171.509995,170.813568,39143000
29/01/2018,170.160004,170.160004,167.070007,167.960007,167.278,50640400
30/01/2018,165.529999,167.369995,164.699997,166.970001,166.292007,46048200
31/01/2018,166.869995,168.440002,166.5,167.429993,166.750137,32478900
01/02/2018,167.169998,168.619995,166.759995,167.779999,167.098724,47230800
02/02/2018,166,166.800003,160.100006,160.5,159.848282,86593800
05/02/2018,159.100006,163.880005,156,156.490005,155.854568,72738500
06/02/2018,154.830002,163.720001,154,163.029999,162.368011,68243800
07/02/2018,163.089996,163.399994,159.070007,159.539993,158.892166,51608600
08/02/2018,160.289993,161,155.029999,155.149994,154.520004,54390500
09/02/2018,157.070007,157.889999,150.240005,156.410004,156.410004,70672600
12/02/2018,158.5,163.889999,157.509995,162.710007,162.710007,60819500
13/02/2018,161.949997,164.75,161.649994,164.339996,164.339996,32282900
14/02/2018,163.044998,165.669907,162.880005,165.284805,165.284805,16986484
