,Date/Time,Lat,Lon,Base
1,06/01/2014 00:01,40.7131,-74.0097,B02512
2,06/01/2014 00:04,40.3461,-74.661,B02512
3,06/01/2014 00:04,40.7555,-73.9833,B02512
4,06/01/2014 00:07,40.688,-74.1831,B02512
5,06/01/2014 00:08,40.7152,-73.9917,B02512
6,06/01/2014 00:08,40.7282,-73.991,B02512
7,06/01/2014 00:08,40.3042,-73.9794,B02512
8,06/01/2014 00:09,40.727,-73.9915,B02512
9,06/01/2014 00:10,40.7221,-73.9965,B02512
10,06/01/2014 00:11,40.7153,-74.0146,B02512
11,06/01/2014 00:15,40.6176,-74.0197,B02512
12,06/01/2014 00:16,40.7025,-73.9897,B02512
13,06/01/2014 00:17,40.735,-74.165,B02512
14,06/01/2014 00:17,40.7357,-74.0068,B02512
15,06/01/2014 00:18,40.6904,-73.9572,B02512
16,06/01/2014 00:19,40.7384,-73.9857,B02512
17,06/01/2014 00:20,40.7406,-74.0066,B02512
18,06/01/2014 00:21,40.7535,-73.9813,B02512
19,06/01/2014 00:21,40.722,-73.9804,B02512
20,06/01/2014 00:23,40.8095,-74.1037,B02512
21,06/01/2014 00:23,40.7482,-73.9745,B02512
22,06/01/2014 00:30,40.7043,-73.933,B02512
23,06/01/2014 00:32,40.7298,-73.9898,B02512
24,06/01/2014 00:32,40.7397,-74.0053,B02512
25,06/01/2014 00:34,40.7607,-74.0025,B02512
26,06/01/2014 00:37,40.7578,-73.9703,B02512
27,06/01/2014 00:39,40.7349,-73.985,B02512
28,06/01/2014 00:39,40.7133,-73.9775,B02512
29,06/01/2014 00:40,40.7273,-73.9936,B02512
30,06/01/2014 00:40,40.761,-73.6035,B02512
31,06/01/2014 00:44,40.7401,-73.9901,B02512
32,06/01/2014 00:46,40.7261,-73.9835,B02512
33,06/01/2014 00:48,40.7406,-74.0086,B02512
34,06/01/2014 00:49,40.6975,-73.9373,B02512
35,06/01/2014 00:53,40.7428,-73.9806,B02512
36,06/01/2014 00:55,40.7667,-74.2016,B02512
37,06/01/2014 00:59,40.7053,-73.9394,B02512
38,06/01/2014 00:59,40.7181,-73.6795,B02512
39,06/01/2014 01:00,40.7431,-73.9848,B02512
40,06/01/2014 01:00,40.7395,-74.0021,B02512
41,06/01/2014 01:01,40.7816,-73.7183,B02512
42,06/01/2014 01:01,40.8192,-73.9019,B02512
43,06/01/2014 01:02,40.7335,-74.0037,B02512
44,06/01/2014 01:04,40.7404,-74.0083,B02512
45,06/01/2014 01:09,40.796,-74.4726,B02512
46,06/01/2014 01:14,40.7397,-74.0081,B02512
47,06/01/2014 01:15,40.7233,-73.9855,B02512
48,06/01/2014 01:18,40.7535,-73.9851,B02512
49,06/01/2014 01:25,40.7978,-74.4777,B02512
50,06/01/2014 01:32,40.299,-73.9811,B02512
51,06/01/2014 01:37,40.7343,-74.166,B02512
52,06/01/2014 01:38,40.7392,-73.9953,B02512
53,06/01/2014 01:40,41.0169,-73.7182,B02512
54,06/01/2014 01:41,40.7196,-73.9995,B02512
55,06/01/2014 01:52,40.7398,-74.0054,B02512
56,06/01/2014 01:56,40.7295,-74.0084,B02512
57,06/01/2014 02:03,40.7408,-74.0079,B02512
58,06/01/2014 02:04,40.7381,-74.0089,B02512
59,06/01/2014 02:05,40.742,-74.0077,B02512
60,06/01/2014 02:15,40.6736,-73.992,B02512
61,06/01/2014 02:19,40.7195,-73.9887,B02512
62,06/01/2014 02:21,40.7144,-73.9651,B02512
63,06/01/2014 02:26,40.7621,-73.9747,B02512
64,06/01/2014 02:27,40.74,-74.0055,B02512
65,06/01/2014 02:32,40.762,-73.9936,B02512
66,06/01/2014 02:40,40.7175,-74.0055,B02512
67,06/01/2014 02:41,40.7521,-73.9954,B02512
68,06/01/2014 02:47,40.7222,-73.9588,B02512
69,06/01/2014 02:50,40.719,-73.9888,B02512
70,06/01/2014 02:51,40.6564,-73.6453,B02512
71,06/01/2014 02:53,40.7261,-73.9918,B02512
72,06/01/2014 02:54,40.7191,-73.9892,B02512
73,06/01/2014 02:58,40.7286,-73.9954,B02512
74,06/01/2014 03:10,40.7615,-73.975,B02512
75,06/01/2014 03:11,40.7278,-73.9991,B02512
76,06/01/2014 03:14,40.7503,-73.9839,B02512
77,06/01/2014 03:19,40.7389,-74.0081,B02512
78,06/01/2014 03:23,40.775,-73.9907,B02512
79,06/01/2014 03:32,40.7054,-74.0072,B02512
80,06/01/2014 03:35,40.7303,-74.0025,B02512
81,06/01/2014 03:36,40.7347,-73.9924,B02512
82,06/01/2014 04:03,40.7224,-73.9878,B02512
83,06/01/2014 04:51,40.6982,-73.462,B02512
84,06/01/2014 04:54,40.6449,-73.7818,B02512
85,06/01/2014 04:56,40.645,-73.782,B02512
86,06/01/2014 05:07,40.7699,-73.9843,B02512
87,06/01/2014 05:10,40.7372,-73.9967,B02512
88,06/01/2014 05:14,40.6448,-73.7826,B02512
89,06/01/2014 05:48,40.7228,-74.0019,B02512
90,06/01/2014 06:19,40.736,-73.9792,B02512
91,06/01/2014 06:21,40.7536,-73.9915,B02512
92,06/01/2014 06:24,40.7615,-73.9881,B02512
93,06/01/2014 06:25,40.8525,-73.8281,B02512
94,06/01/2014 06:27,40.7554,-73.9738,B02512
95,06/01/2014 06:35,40.7543,-73.9817,B02512
96,06/01/2014 06:37,40.7751,-73.9633,B02512
97,06/01/2014 06:46,40.6952,-74.1784,B02512
98,06/01/2014 06:51,40.7621,-73.9817,B02512
